,permco,gvkey,companyid,score,preferred,duplicate
126,11042,024344,32537.0,1.0,1.0,0.0
127,11067,024385,29849.0,10.0,1.0,0.0
128,11101,038496,22670.0,1.0,1.0,0.0
129,11112,024468,15481.0,6.0,0.0,1.0
130,11112,024468,440155.0,1.0,1.0,1.0
131,11117,024473,27627.0,1.0,1.0,0.0
132,11176,024648,1633.0,3.0,1.0,0.0
133,11198,024689,4968.0,1.0,1.0,0.0
134,11206,024710,1324393.0,1.0,1.0,0.0
135,11209,024699,15637.0,1.0,1.0,0.0
136,11210,020245,4365.0,1.0,1.0,0.0
137,11221,164605,10859.0,2.0,1.0,0.0
138,11245,024771,13013.0,1.0,1.0,0.0
139,11260,024781,13101.0,3.0,1.0,0.0
140,11286,024843,2134.0,1.0,1.0,0.0
141,11290,024898,9773.0,1.0,1.0,0.0
142,11300,024856,13273.0,1.0,1.0,0.0
143,11316,024878,25288.0,2.0,1.0,0.0
144,11329,024907,28777.0,3.0,1.0,0.0
145,11330,024908,9773.0,9.0,1.0,0.0
146,11383,024996,4419.0,3.0,0.0,1.0
147,11383,024996,1601866.0,1.0,1.0,1.0
148,11405,025047,27304.0,1.0,1.0,0.0
149,11432,025095,864575.0,10.0,0.0,1.0
150,11450,025121,27435.0,10.0,1.0,0.0
151,11608,025514,19802.0,3.0,1.0,0.0
152,11612,025523,2519.0,10.0,1.0,1.0
153,11612,025523,3307513.0,10.0,1.0,1.0
154,11645,025623,14871.0,1.0,1.0,0.0
155,11786,025906,25584.0,1.0,1.0,0.0
156,11795,025924,21766.0,6.0,0.0,1.0
157,11795,025924,1687155.0,3.0,1.0,1.0
158,11806,025937,18868.0,1.0,1.0,0.0
159,11915,027747,6178.0,1.0,1.0,0.0
160,11922,027765,23424.0,1.0,1.0,0.0
161,11936,027784,14627.0,5.0,1.0,0.0
162,11959,027825,2895.0,3.0,1.0,0.0
163,11989,027896,26906.0,6.0,1.0,0.0
164,12005,035632,32614.0,1.0,1.0,0.0
165,12040,027988,34156.0,1.0,1.0,0.0
166,12119,028209,2234.0,1.0,1.0,0.0
167,12204,028806,16285.0,1.0,1.0,0.0
168,12265,028563,109122.0,2.0,1.0,0.0
169,12379,028795,23528.0,3.0,1.0,0.0
170,12489,029032,16154.0,1.0,1.0,0.0
171,12516,029086,23670.0,1.0,1.0,0.0
172,12567,029165,14960.0,1.0,1.0,0.0
173,12604,029278,19719.0,1.0,1.0,0.0
174,12630,029312,15203.0,1.0,1.0,0.0
175,12636,025089,17023.0,6.0,1.0,0.0
176,12643,029344,1223960.0,5.0,1.0,0.0
177,12804,029650,1640534.0,10.0,1.0,0.0
178,12845,030185,5780.0,2.0,1.0,0.0
179,12902,029837,4327.0,1.0,1.0,0.0
180,12980,179428,421686.0,2.0,1.0,0.0
181,12981,030007,32852.0,3.0,1.0,0.0
182,13012,030095,25615.0,6.0,1.0,0.0
183,13036,030137,16049.0,1.0,1.0,0.0
184,13073,030205,9038.0,1.0,1.0,0.0
185,13098,030674,2553.0,1.0,1.0,0.0
186,13099,030236,29981.0,3.0,0.0,1.0
187,13099,332115,2344861.0,1.0,1.0,1.0
188,13110,030257,22512.0,3.0,1.0,0.0
189,13113,030255,22623.0,2.0,1.0,0.0
190,13125,030281,18308.0,1.0,1.0,1.0
191,13125,030281,2039703.0,1.0,1.0,1.0
192,13161,030368,2775212.0,10.0,1.0,0.0
193,13236,031689,21501.0,1.0,1.0,0.0
194,13539,031477,5192.0,1.0,1.0,0.0
195,13780,060875,27654.0,1.0,1.0,0.0
196,13838,031403,838.0,6.0,1.0,0.0
197,13915,061140,9353.0,3.0,0.0,1.0
198,13915,061140,2653850.0,6.0,0.0,1.0
199,13915,061140,3194858.0,1.0,1.0,1.0
200,13934,061166,6187.0,3.0,1.0,1.0
201,13934,182826,2025188.0,3.0,1.0,1.0
202,13935,061167,32719.0,1.0,1.0,0.0
203,13950,037640,2730376.0,1.0,1.0,0.0
204,13997,061361,1146327.0,6.0,1.0,0.0
205,14031,061399,21434.0,1.0,1.0,0.0
206,14073,061448,24321.0,1.0,1.0,0.0
207,14093,062525,14632.0,1.0,1.0,0.0
208,14109,061508,634393.0,10.0,1.0,0.0
209,14165,061600,23799.0,1.0,1.0,0.0
210,14232,061711,481560.0,3.0,0.0,1.0
211,14232,061711,1955483.0,2.0,1.0,1.0
212,14243,061745,15696.0,6.0,0.0,1.0
213,14243,018888,1560214.0,1.0,1.0,1.0
214,14288,061940,2307805.0,6.0,1.0,0.0
215,14293,061836,30782.0,4.0,0.0,1.0
216,14293,061836,2349326.0,1.0,1.0,1.0
217,14294,062497,23417.0,6.0,1.0,0.0
218,14304,061871,24316.0,2.0,1.0,1.0
219,14304,036049,3158781.0,2.0,1.0,1.0
220,14309,061901,21764.0,4.0,0.0,1.0
221,14309,179731,1949578.0,3.0,1.0,1.0
222,14310,061899,15273.0,3.0,1.0,0.0
223,14326,062237,7677.0,1.0,1.0,0.0
224,14332,061980,602654.0,5.0,1.0,0.0
225,14381,062170,21769.0,1.0,1.0,0.0
226,14394,062263,1355.0,1.0,1.0,0.0
227,14432,062382,29603.0,1.0,1.0,0.0
228,14522,062632,26232.0,1.0,1.0,0.0
229,14558,062700,421801.0,1.0,1.0,0.0
230,14594,062784,20712.0,1.0,1.0,0.0
231,14603,062826,23208.0,1.0,1.0,0.0
232,14604,062821,4796.0,6.0,1.0,0.0
233,14644,062913,9211.0,1.0,1.0,0.0
234,14645,062911,3232.0,1.0,1.0,0.0
235,14659,062921,21929.0,1.0,1.0,0.0
236,14715,063030,10788.0,3.0,1.0,0.0
237,14742,063084,7300.0,1.0,1.0,0.0
238,14772,063162,2607.0,6.0,1.0,0.0
239,14845,063863,32027.0,1.0,1.0,0.0
240,14849,063374,488612.0,5.0,1.0,0.0
241,14851,063385,32448.0,1.0,1.0,0.0
242,14859,063405,13173.0,1.0,1.0,0.0
243,14880,063446,3556292.0,1.0,1.0,0.0
244,14965,063604,383.0,6.0,1.0,0.0
245,14977,063650,21752.0,1.0,1.0,0.0
246,15014,063700,2262.0,6.0,1.0,0.0
247,15040,063789,2612.0,1.0,1.0,0.0
248,15048,063804,31164.0,6.0,1.0,0.0
249,15079,063866,8406.0,1.0,1.0,0.0
250,15094,061880,750822.0,1.0,1.0,0.0
251,15097,063901,748542.0,1.0,1.0,1.0
252,15097,063901,1811136.0,6.0,0.0,1.0
253,15155,064004,32751.0,1.0,1.0,0.0
254,15158,021118,569.0,1.0,1.0,0.0
255,15159,063996,8461.0,2.0,1.0,0.0
256,15244,026922,3387532.0,1.0,1.0,1.0
257,15300,064314,10863.0,1.0,1.0,0.0
258,15306,064327,6389.0,1.0,1.0,0.0
259,15314,064334,401.0,1.0,1.0,0.0
260,15330,064375,4398.0,3.0,1.0,0.0
261,15350,064412,15567.0,1.0,1.0,0.0
262,15354,165934,2557.0,3.0,1.0,0.0
